section,date,keyword,group,interest_score,region,query_type,related_term,related_value,suggestion_type
interest_over_time,2025-06-01,Mexican egg rolls,American Ginseng,,,,,,
interest_over_time,2025-06-01,Loacker dark hazelnut,American Ginseng,,,,,,
interest_over_time,2025-06-01,Loacker cappuccino,American Ginseng,,,,,,
interest_over_time,2025-06-01,Loacker white coconut,American Ginseng,,,,,,
interest_over_time,2025-06-01,Loacker orange chocolate,American Ginseng,,,,,,
interest_over_time,2025-06-01,Loacker Gran Pasticceria,American Ginseng,,,,,,
interest_over_time,2025-06-01,Mazola corn oil,American Ginseng,,,,,,
interest_over_time,2025-06-01,Totole chicken bouillon,American Ginseng,,,,,,
interest_over_time,2025-06-01,Kwan Loong oil,American Ginseng,,,,,,
interest_over_time,2025-06-01,Tiger Balm,American Ginseng,,,,,,
interest_over_time,2025-06-01,Tiger Balm patch,American Ginseng,,,,,,
interest_over_time,2025-06-01,Prince of Peace green tea,American Ginseng,,,,,,
interest_over_time,2025-06-01,Prince of Peace jasmine tea,American Ginseng,,,,,,
interest_over_time,2025-06-01,Prince of Peace oolong tea,American Ginseng,,,,,,
interest_over_time,2025-06-01,Prince of Peace white tea,American Ginseng,,,,,,
interest_over_time,2025-06-01,blood pressure herbal tea,American Ginseng,,,,,,
interest_over_time,2025-06-01,blood pressure herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-06-01,blood sugar herbal tea,American Ginseng,,,,,,
interest_over_time,2025-06-01,cholesterol herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-06-01,ginseng blood pressure,American Ginseng,,,,,,
interest_over_time,2025-06-01,herbal health tea Asian,American Ginseng,,,,,,
interest_over_time,2025-06-08,American ginseng root,American Ginseng,0.0,,,,,
interest_over_time,2025-06-08,American ginseng slices,American Ginseng,0.0,,,,,
interest_over_time,2025-06-08,ginseng instant tea,American Ginseng,0.0,,,,,
interest_over_time,2025-06-08,ginseng candy,American Ginseng,0.0,,,,,
interest_over_time,2025-06-08,ginseng herbal tea,American Ginseng,86.0,,,,,
interest_over_time,2025-06-08,Prince of Peace ginger chews,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger chews original,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger chews mango,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger chews lemon,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger chews blood orange,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger chews lychee,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger chews pineapple coconut,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger honey crystals,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger chews plus,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginger chews bulk,American Ginseng,,,,,,
interest_over_time,2025-06-08,Ferrero Rocher,American Ginseng,,,,,,
interest_over_time,2025-06-08,Gavottes crepes dentelle,American Ginseng,,,,,,
interest_over_time,2025-06-08,Kjeldsens butter cookies,American Ginseng,,,,,,
interest_over_time,2025-06-08,Loacker wafer hazelnut,American Ginseng,,,,,,
interest_over_time,2025-06-08,Mexican egg rolls,American Ginseng,,,,,,
interest_over_time,2025-06-08,Loacker dark hazelnut,American Ginseng,,,,,,
interest_over_time,2025-06-08,Loacker cappuccino,American Ginseng,,,,,,
interest_over_time,2025-06-08,Loacker white coconut,American Ginseng,,,,,,
interest_over_time,2025-06-08,Loacker orange chocolate,American Ginseng,,,,,,
interest_over_time,2025-06-08,Loacker Gran Pasticceria,American Ginseng,,,,,,
interest_over_time,2025-06-08,Mazola corn oil,American Ginseng,,,,,,
interest_over_time,2025-06-08,Totole chicken bouillon,American Ginseng,,,,,,
interest_over_time,2025-06-08,Kwan Loong oil,American Ginseng,,,,,,
interest_over_time,2025-06-08,Tiger Balm,American Ginseng,,,,,,
interest_over_time,2025-06-08,Tiger Balm patch,American Ginseng,,,,,,
interest_over_time,2025-06-08,Prince of Peace green tea,American Ginseng,,,,,,
interest_over_time,2025-06-08,Prince of Peace jasmine tea,American Ginseng,,,,,,
interest_over_time,2025-06-08,Prince of Peace oolong tea,American Ginseng,,,,,,
interest_over_time,2025-06-08,Prince of Peace white tea,American Ginseng,,,,,,
interest_over_time,2025-06-08,blood pressure herbal tea,American Ginseng,,,,,,
interest_over_time,2025-06-08,blood pressure herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-06-08,blood sugar herbal tea,American Ginseng,,,,,,
interest_over_time,2025-06-08,cholesterol herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-06-08,ginseng blood pressure,American Ginseng,,,,,,
interest_over_time,2025-06-08,herbal health tea Asian,American Ginseng,,,,,,
interest_over_time,2025-06-15,American ginseng root,American Ginseng,0.0,,,,,
interest_over_time,2025-06-15,American ginseng slices,American Ginseng,0.0,,,,,
interest_over_time,2025-06-15,ginseng instant tea,American Ginseng,0.0,,,,,
interest_over_time,2025-06-15,ginseng candy,American Ginseng,0.0,,,,,
interest_over_time,2025-06-15,ginseng herbal tea,American Ginseng,0.0,,,,,
interest_over_time,2025-06-15,Prince of Peace ginger chews,American Ginseng,,,,,,
